Ticker
NVDA
AAPL
GOOGL
GOOG
MSFT
AMZN
META
AVGO
TSLA
BRK-B
WMT
LLY
JPM
XOM
V
JNJ
ORCL
MU
COST
MA
NFLX
ABBV
CVX
PLTR
PG
BAC
HD
KO
CAT
GE
AMD
CSCO
MRK
RTX
PM
AMAT
LRCX
UNH
MS
TMUS
GS
WFC
IBM
MCD
LIN
INTC
GEV
PEP
VZ
AXP
